case_id,group,split,variant,status,physical_hash,latency_s,candidate_count,positive_count,recall_at_10,recall_at_20,physical_cache_hit
eval-isolated_zone-3,isolated_zone,train,A1,PASS,380168bb8dd8dd21827ea999375978db8530c46c354a961e3093888a7b23c5e6,0.003194749995600432,23,0,,,True
eval-isolated_zone-3,isolated_zone,train,A2,PASS,380168bb8dd8dd21827ea999375978db8530c46c354a961e3093888a7b23c5e6,0.005313166999258101,23,0,,,True
eval-isolated_zone-3,isolated_zone,train,A5,PASS,380168bb8dd8dd21827ea999375978db8530c46c354a961e3093888a7b23c5e6,0.006861208006739616,23,0,,,True
eval-isolated_zone-3,isolated_zone,train,A3,DEFERRED_USER,380168bb8dd8dd21827ea999375978db8530c46c354a961e3093888a7b23c5e6,,,,,,
eval-isolated_zone-3,isolated_zone,train,A4,DEFERRED_USER,380168bb8dd8dd21827ea999375978db8530c46c354a961e3093888a7b23c5e6,,,,,,
eval-reverse_direction-0,reverse_direction,train,A0,PASS,b70fce7d772643410e06c6a012f032f2314bacce98b408967486f79d07c847a9,0.0038366249937098473,23,0,,,False
eval-reverse_direction-0,reverse_direction,train,A1,PASS,b70fce7d772643410e06c6a012f032f2314bacce98b408967486f79d07c847a9,0.004900958010694012,23,0,,,True
eval-reverse_direction-0,reverse_direction,train,A2,PASS,b70fce7d772643410e06c6a012f032f2314bacce98b408967486f79d07c847a9,0.006039125000825152,23,0,,,True
eval-reverse_direction-0,reverse_direction,train,A5,PASS,b70fce7d772643410e06c6a012f032f2314bacce98b408967486f79d07c847a9,0.006557333981618285,23,0,,,True
eval-reverse_direction-0,reverse_direction,train,A3,DEFERRED_USER,b70fce7d772643410e06c6a012f032f2314bacce98b408967486f79d07c847a9,,,,,,
eval-reverse_direction-0,reverse_direction,train,A4,DEFERRED_USER,b70fce7d772643410e06c6a012f032f2314bacce98b408967486f79d07c847a9,,,,,,
eval-reverse_direction-1,reverse_direction,train,A0,PASS,ab4458d511e2bc527c7039b53d8b4074961b99f7640d4edf5408ddbbef945416,0.0037694589991588145,23,0,,,False
eval-reverse_direction-1,reverse_direction,train,A1,PASS,ab4458d511e2bc527c7039b53d8b4074961b99f7640d4edf5408ddbbef945416,0.003397208987735212,23,0,,,True
eval-reverse_direction-1,reverse_direction,train,A2,PASS,ab4458d511e2bc527c7039b53d8b4074961b99f7640d4edf5408ddbbef945416,0.006005875009577721,23,0,,,True
eval-reverse_direction-1,reverse_direction,train,A5,PASS,ab4458d511e2bc527c7039b53d8b4074961b99f7640d4edf5408ddbbef945416,0.007079125003656372,23,0,,,True
eval-reverse_direction-1,reverse_direction,train,A3,DEFERRED_USER,ab4458d511e2bc527c7039b53d8b4074961b99f7640d4edf5408ddbbef945416,,,,,,
eval-reverse_direction-1,reverse_direction,train,A4,DEFERRED_USER,ab4458d511e2bc527c7039b53d8b4074961b99f7640d4edf5408ddbbef945416,,,,,,
eval-reverse_direction-2,reverse_direction,train,A0,PASS,34cc2701a6f4a7b47b81607e80bcf24356047f8d9c1c847f1a09cd53105a96d8,0.003665917000034824,23,0,,,False
eval-reverse_direction-2,reverse_direction,train,A1,PASS,34cc2701a6f4a7b47b81607e80bcf24356047f8d9c1c847f1a09cd53105a96d8,0.0042464580037631094,23,0,,,True
